Sample,Groups,47_SHIK 0.0 : Conc. (nM),4_3DHSA 0.0 : Conc. (nM),33_LAC_0.0 : Conc. (nM),44_R5P_0.0 : Conc. (nM),45_RL5P_0.0 : Conc. (nM),55_X5P_0.0 : Conc. (nM),15_CMP 0.0 : Conc. (nM),35_NAD 0.0 : Conc. (nM),DHAP_0.0 : Conc. (nM),53_UMP 0.0 : Conc. (nM),28_GMP 0.0 : Conc. (nM),11_AMP 0.0 : Conc. (nM),19_F16DP_0.0 : Conc. (nM),49_UDP 0.0 : Conc. (nM),10_ADP 0.0 : Conc. (nM),13_ATP_0.0 : Conc. (nM),8_ACoA_0.0 : Conc. (nM),51_UDPGA 0.0 : Conc. (nM),54_UTP0.0 : Conc. (nM),CoA Neg 0.0 : Conc. (nM),23_G6P_0.0 : Conc. (nM),57_G3P_0.0 : Conc. (nM),SH7P 0.0 : Conc. (nM),20_F6P_0.0 : Conc. (nM),22_G1P_0.0 : Conc. (nM),48_SUCC_0.0 : Conc. (nM),34_MAL_0.0 : Conc. (nM),32_KGA_0.0 : Conc. (nM),6_6PG_0.0 : Conc. (nM),21_FUM_0.0 : Conc. (nM),2_3PG_0.0 : Conc. (nM),31_CIT_0.0 : Conc. (nM),30_ISO_0.0 : Conc. (nM)
Over-1,Overripe,11615.09,25.02,61762.39,280.57,344.01,2006.51,181.78,902.89,3223.89,5355.39,950.57,6221.16,367.08,115.92,227.72,-18.64,7.23,25.63,8.3,664.25,24999.89,7146.22,2118.96,11385.55,1924.79,120891.28,991870.39,13143.54,106.13,54236.37,1148.04,1505523.23,6905.34
Over-2,Overripe,11188.79,26.4,64465.36,298.69,334.72,1988.38,169.61,1051.34,3252.67,5056.42,885.99,5972.43,352.42,92.42,200.66,-15.79,8.95,25.92,10.56,744.88,24031.4,6999,1756.39,9287.82,1799.47,113925.04,966900.86,12081.35,107.95,51221.25,1347.52,1459419.17,6337.6581
Over-3,Overripe,11086.41,24.19,60750.98,287.91,343.4,2056.24,179.15,963.71,3194.5,5194.68,928.34,6092.51,409.14,112.97,182.16,-29.34,6.23,24.65,8.92,711.39,24982.66,6975.98,1850.51,11375.54,1918.1,120273.08,966361.01,14678.84,86.43,53497.12,1258.21,1483319.25,6427.0233
Ripe-1,Ripe,16221.33,25.77,183.46,533.43,691.64,3628.36,168.33,1728.51,3875.39,1510.44,251.57,3058.01,530.05,344.98,1550.19,340.79,42.73,30.08,111.26,611.55,43600.21,2279.8,5554.53,14551.8,2866.33,3605.72,1094597.23,1552.64,409.18,-4349.62,382.18,1734682.72,8656.6334
Ripe-2,Ripe,16216.49,29.91,524.41,563.03,802.38,4012.05,172.52,1435.68,3964.71,1591.39,250.74,3194.07,509.38,323.96,1446.16,378.45,42.52,27.93,124.08,1254.71,42361.57,2010.03,4559.52,12613.67,2909.32,2340.24,1083256.55,3954.18,407.23,-5437.32,440.65,1665195.55,8278.6566
Ripe-3,Ripe,16064.75,26.96,119.59,540.33,621.99,3758.83,162.47,1221.44,3700.6,1519,255.32,2900.44,513.52,318.53,1497.68,553.96,39.84,28.73,181.78,619.57,40719.65,2130.23,4745.29,11951.27,2541.29,2421.5,1092830.29,3475.64,388.76,-6351.84,443.28,1679956.91,8140.7712
Green-1,Green,2422.25,16.77,25849.36,73.78,130.03,693.85,21.08,435.83,361.95,1087.62,122.61,473.17,-2.38,139.41,505.78,173.35,10.36,12.95,50.22,415.54,27487.96,6493.21,12621.38,9562.32,1920.47,1654.99,724904.45,391.04,64.9,-2738.27,527.13,1569082.27,7777.5714
Green-2,Green,2420.38,16.95,25014.5,73.62,147.31,786.66,24.3,427.44,361.75,1102.93,110.66,448.36,2.87,130.37,463.07,227.36,11.75,13.53,64.03,440.2,27761.2,6788.52,13523.21,10045.08,2086.76,1447.32,724522.86,694.22,81.29,-3689.35,528.49,1556784.78,7729.6731
Green-3,Green,2388.84,18.72,22989.08,71.75,146.65,870.23,21.63,459.86,356.29,1108.87,118.97,460.04,-13,144.08,499.94,169.3,12.1,13.31,55.07,426.21,27949.53,6942.42,12429.59,10309.99,1829.97,1684.21,742415.42,1206.74,58.3,-1550.11,528.75,1569559.62,7805.7774
