Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
ME_1,1.0,1.912776146589469,0.2622416123119813,True
ME_2,1.0,2.6996411205124673,0.09175514333797895,True
A0A4S8JP07;A0A4S8JP07;A0A804HRQ6;A0A804HRQ8,1.0,0.38379452268202774,0.1346562464029879,True
A0A4S8K2J9;A0A4S8K2J9;A0A804K4X1;A0A804L7U0;A0A804L7U1,0.89,0.21189168657972218,0.11699337213003358,True
A0A804K6U0,0.71,0.47472569704745654,0.3571459745760483,False
A0A804IWQ8,0.71,0.4212386290669594,0.324702256477471,False
A0A804U5M1,0.59,0.15665489732945628,0.13940818312332898,False
A0A4S8I6R3;A0A4S8I6R3;A0A804J6D9,0.51,0.08196417373343051,0.09190709329599075,False
A0A804IAV0,0.36,0.1212316714762432,0.172906963171596,False
A0A804IVT3,0.09,0.007642711645756457,0.031808011944145016,False
A0A4S8IRZ0;A0A4S8IRZ0,0.07,0.024082333998763198,0.08790837993839115,False
A0A804IN41,0.05,0.012363470060214932,0.05443328834731566,False
