Feature,Coefficient,Abs_Coefficient
GABA,0.4884093206423118,0.4884093206423118
GLY,0.4804467204740593,0.4804467204740593
VAL,0.47990943242735373,0.47990943242735373
GLU,-0.4782392537603527,0.4782392537603527
ASP,-0.4645741984751839,0.4645741984751839
MET,-0.46365629510636513,0.46365629510636513
TYR,0.46306825632736526,0.46306825632736526
SER,0.44857720470666773,0.44857720470666773
LEU,0.423752742922282,0.423752742922282
ARG,0.4219150911819883,0.4219150911819883
GLN,-0.3772935516841413,0.3772935516841413
HIS,0.37699066494721467,0.37699066494721467
PRO,0.36951105030162473,0.36951105030162473
THR,0.3381480789531601,0.3381480789531601
LYS,0.32302953558867875,0.32302953558867875
ASN,-0.31263890908246444,0.31263890908246444
TRP,0.28046185203621826,0.28046185203621826
ALA,0.2600365449497348,0.2600365449497348
PHE,-0.1410126480997856,0.1410126480997856
CYS,0.069817334700115,0.069817334700115
ILE,0.06540714048877821,0.06540714048877821
