Feature,Importance
35_NAD 0.0 : Conc. (nM),0.0648027950310559
2_3PG_0.0 : Conc. (nM),0.0601304347826087
CoA Neg 0.0 : Conc. (nM),0.0495
48_SUCC_0.0 : Conc. (nM),0.04375
19_F16DP_0.0 : Conc. (nM),0.043030936454849504
47_SHIK 0.0 : Conc. (nM),0.042911371237458196
30_ISO_0.0 : Conc. (nM),0.04265384615384615
21_FUM_0.0 : Conc. (nM),0.04139285714285714
54_UTP0.0 : Conc. (nM),0.040846153846153845
10_ADP 0.0 : Conc. (nM),0.037088628762541806
53_UMP 0.0 : Conc. (nM),0.03553846153846154
57_G3P_0.0 : Conc. (nM),0.03130769230769231
8_ACoA_0.0 : Conc. (nM),0.030934782608695654
22_G1P_0.0 : Conc. (nM),0.030815217391304345
45_RL5P_0.0 : Conc. (nM),0.03
34_MAL_0.0 : Conc. (nM),0.027161371237458192
32_KGA_0.0 : Conc. (nM),0.026653846153846153
4_3DHSA 0.0 : Conc. (nM),0.026249999999999996
49_UDP 0.0 : Conc. (nM),0.02584615384615384
DHAP_0.0 : Conc. (nM),0.025500000000000002
44_R5P_0.0 : Conc. (nM),0.02484615384615385
6_6PG_0.0 : Conc. (nM),0.024000000000000004
15_CMP 0.0 : Conc. (nM),0.022911371237458192
51_UDPGA 0.0 : Conc. (nM),0.02284615384615385
23_G6P_0.0 : Conc. (nM),0.02011204013377926
11_AMP 0.0 : Conc. (nM),0.019934782608695654
13_ATP_0.0 : Conc. (nM),0.01796571906354515
31_CIT_0.0 : Conc. (nM),0.017880434782608697
55_X5P_0.0 : Conc. (nM),0.017838628762541806
SH7P 0.0 : Conc. (nM),0.017088628762541806
20_F6P_0.0 : Conc. (nM),0.01455769230769231
28_GMP 0.0 : Conc. (nM),0.013903846153846154
33_LAC_0.0 : Conc. (nM),0.01
