Feature,VIP,Important
19_F16DP_0.0 : Conc. (nM),2.334162007766299,True
33_LAC_0.0 : Conc. (nM),2.172742811240283,True
21_FUM_0.0 : Conc. (nM),2.0280394767367773,True
11_AMP 0.0 : Conc. (nM),1.7566834405679814,True
DHAP_0.0 : Conc. (nM),1.7364052157312904,True
13_ATP_0.0 : Conc. (nM),1.7099392615028328,True
15_CMP 0.0 : Conc. (nM),1.6618223859581076,True
32_KGA_0.0 : Conc. (nM),1.651849640904487,True
48_SUCC_0.0 : Conc. (nM),1.4538319206320094,True
54_UTP0.0 : Conc. (nM),1.4453761049676686,True
47_SHIK 0.0 : Conc. (nM),0.0,False
44_R5P_0.0 : Conc. (nM),0.0,False
28_GMP 0.0 : Conc. (nM),0.0,False
35_NAD 0.0 : Conc. (nM),0.0,False
55_X5P_0.0 : Conc. (nM),0.0,False
45_RL5P_0.0 : Conc. (nM),0.0,False
4_3DHSA 0.0 : Conc. (nM),0.0,False
8_ACoA_0.0 : Conc. (nM),0.0,False
10_ADP 0.0 : Conc. (nM),0.0,False
49_UDP 0.0 : Conc. (nM),0.0,False
53_UMP 0.0 : Conc. (nM),0.0,False
57_G3P_0.0 : Conc. (nM),0.0,False
51_UDPGA 0.0 : Conc. (nM),0.0,False
CoA Neg 0.0 : Conc. (nM),0.0,False
23_G6P_0.0 : Conc. (nM),0.0,False
22_G1P_0.0 : Conc. (nM),0.0,False
20_F6P_0.0 : Conc. (nM),0.0,False
SH7P 0.0 : Conc. (nM),0.0,False
34_MAL_0.0 : Conc. (nM),0.0,False
6_6PG_0.0 : Conc. (nM),0.0,False
2_3PG_0.0 : Conc. (nM),0.0,False
31_CIT_0.0 : Conc. (nM),0.0,False
30_ISO_0.0 : Conc. (nM),0.0,False
