power,r_squared,mean_connectivity
2,-0.26981108954130584,1017.6794764680338
3,-0.011200488467016934,626.5613927303602
4,0.10524600765837111,423.5848071130252
5,0.35424882577137196,304.57092580581394
6,0.5193439450716029,228.85665658569238
7,0.6182179579517944,177.77652422805528
8,0.6774669947787191,141.74785762910216
9,0.721679752074138,115.42962141328753
10,0.7662317706123652,95.65111551905237
11,0.793972246669931,80.43344025209606
12,0.8169202009703005,68.49010566756746
13,0.8381800093720035,58.955880306678914
14,0.8379332613903194,51.23187792036513
15,0.8375278789260614,44.89319937078375
16,0.8693444049955097,39.63183702471446
17,0.8836560808818401,35.2202586447787
18,0.8849600876044547,31.487540146705747
19,0.8833779314128257,28.30334385950154
20,0.8945021089608707,25.56693232990482
